id,sp1,sp2,sp3,sp4,sp5,sp6,sp7,task,sound,total,order
32,2,4,4,6,6,7,5,verbal,steady,34,Spatial
33,0,1,6,12,8,9,8,verbal,steady,44,Spatial
34,2,5,9,9,14,11,7,verbal,steady,57,Verbal
35,0,5,9,9,11,13,9,verbal,steady,56,Spatial
36,2,3,5,8,13,12,10,verbal,steady,53,Verbal
37,1,1,4,8,9,9,9,verbal,steady,41,Spatial
38,0,2,2,8,11,13,10,verbal,steady,46,Verbal
39,0,0,1,4,9,11,12,verbal,steady,37,Verbal
40,1,2,5,10,10,11,9,verbal,steady,48,Verbal
41,6,10,8,12,10,6,9,verbal,steady,61,Spatial
42,10,11,10,12,13,11,14,verbal,steady,81,Spatial
43,2,7,10,10,10,9,6,verbal,steady,54,Verbal
44,12,11,13,13,14,12,15,verbal,steady,90,Spatial
45,0,1,0,1,3,4,1,verbal,steady,10,Verbal
46,3,8,10,7,9,10,9,verbal,steady,56,Spatial
47,1,2,2,6,10,8,6,verbal,steady,35,Verbal
48,0,2,2,0,6,7,10,verbal,steady,27,Verbal
49,1,2,3,3,5,4,3,verbal,steady,21,Spatial
50,0,1,2,1,4,6,5,verbal,steady,19,Verbal
51,1,7,8,9,8,11,8,verbal,steady,52,Spatial
52,2,3,6,7,8,6,6,verbal,steady,38,Verbal
53,1,4,11,13,13,14,11,verbal,steady,67,Verbal
54,4,5,8,9,11,12,12,verbal,steady,61,Verbal
55,4,7,8,6,12,11,7,verbal,steady,55,Spatial
56,12,12,13,13,11,13,13,verbal,steady,87,Spatial
57,8,8,12,13,15,15,14,verbal,steady,85,Spatial
58,2,5,7,6,9,9,6,verbal,steady,44,Verbal
59,0,0,0,1,1,0,0,verbal,steady,2,Spatial
60,11,11,13,11,10,11,12,verbal,steady,79,Verbal
61,2,2,5,5,8,9,7,verbal,steady,38,Spatial
62,3,3,4,4,7,7,9,verbal,steady,37,Verbal
63,4,5,8,8,9,9,6,verbal,steady,49,Spatial
64,2,4,6,5,5,6,8,verbal,steady,36,Verbal
1,0,2,1,4,6,6,7,verbal,changing,26,Spatial
2,2,3,0,8,10,11,5,verbal,changing,39,Spatial
